Variety,Maturity,GDU To Silk,GDU To Black Layer
77-70 VT2PRIB,77,970,1850
80-32 VT2PRIB,80,990,1910
82-22 VT2PRIB,82,1138,2050
10T84 VT2PRIB,84,1211,2338
84-14 VT2PRIB,84,1095,2102
84-42 VT2PRIB,84,1211,2338
85-10 PCE,85,1070,2100
86-06 VT2PRIB,86,1075,2100
86-07 VT2PRIB,86,1083,2087
88-77 VT2PRIB,88,1136,2148
89-58 SSPRORIB,89,1329,2592
90-72 VT2PRIB,90,1200,2240
91-36 SSRIB,91,1150,2280
91-36 VT2PRIB,91,1150,2280
92-14 VT2PRIB,92,1141,2205
93-07 VT2PRIB,93,1200,2380
93-32 SSRIB,93,1200,2340
94-47 VT2PRIB,94,1230,2360
94-60 VT2PRIB,94,1200,2320
42W96 TRERIB,96,1461,2849
96-06 VT2PRIB,96,1240,2380
96-27 VT2PRIB,96,1238,2443
96-30 PCE,96,1220,2345
42U97 VT2PRIB,97,1237,2412
97-18 TRERIB,97,1212,2363
97-62 CONV,97,1237,2412
97-62 SSRIB,97,1237,2412
97-62 VT2PRIB,97,1237,2412
98-16 TRERIB,98,1250,2400
98-42 SSPRORIB,98,1287,2510
98-52 VT2PRIB,98,1230,2390
98-70 VT4PRIB,98,1190,2405
99-90 VT2PRIB,99,1262,2365
00-28 CONV,100,1250,2530
01-01 VT2PRIB,101,1233,2404
01-42 TRERIB,101,1265,2493
02-89 VT4PRIB,102,1240,2450
03-53 VT2PRIB,103,1235,2480
03-63 PCE,103,1239,2470
04-99 CONV,104,1280,2550
04-99 SSRIB,104,1280,2550
04-99 VT2PRIB,104,1280,2550
05-78 CONV,105,1285,2610
06-56 PCE,106,1260,2615
07-11 SSPRORIB,107,1328,2616
07-47 TRERIB,107,1299,2558
09-79 VT2PRIB,109,1305,2570
09-90 PCE,109,1290,2620
10-66 SSRIB,110,1330,2630
10-66 VT2PRIB,110,1330,2630
11-15 CONV,111,1330,2640
11-15 VT2PRIB,111,1330,2655
11-99 VT2PRIB,111,1288,2537
5110 CONV,111,1330,2640
12-42 VT4PRIB,112,1369,2724
12-48 DGVT2PRIB,112,1365,2715
13-04 VT2PRIB,113,1340,2790
13-31 VT2PRIB,113,1310,2890
13-47 VT2PRIB,113,1310,2815
77P13 VT2PRIB,113,1310,2815
14-20 PCE,114,1320,2795
14-88 VT2PRIB,114,1330,2656
77A14 VT2PRIB,114,1330,2656
77C14 TRERIB,114,1341,2670
15-65 CONV,115,1390,2772
15-65 SSRIB,115,1390,2772
15-65 VT2PRIB,115,1390,2772
16-42 VT2PRIB,116,1394,2773
17-70 SSRIB,117,1355,2900
18-01 SSRIB,118,1385,2920
18-88 TRERIB,118,1370,2790
18-88 VT2PRIB,118,1370,2790
